event_artist,price,image_url,club_name,event_url,event_date
Base Explosion IV - Hard Techno Night,400,"https://cdn.bubilet.com.tr/cdn-cgi/image/format=auto,width=3840/https://cdn.bubilet.com.tr/files/Etkinlik/base-explosion-iv-hard-techno-night-82079.png",Pixel,https://www.bubilet.com.tr/ankara/etkinlik/base-explosion-iv-hard-techno-night,2025-09-19
Decks & Canvas - A Night Of Art & Sound,400,"https://cdn.bubilet.com.tr/cdn-cgi/image/format=auto,width=3840/https://cdn.bubilet.com.tr/files/Etkinlik/decks-canvas-a-night-of-art-sound-63036.jpg",Pixel,https://www.bubilet.com.tr/ankara/etkinlik/decks-canvas-a-night-of-art-sound,2025-09-20
DENİZ TEKİN & ARO,N/A,https://cdn.iticket.com.tr/event/poster/jtAYpT4106PcByijGPWzxTxXaT4wqqWojYGf7ZXK.png,Kite Ankara,https://iticket.com.tr/events/music/deniz-tekin-aro-ankara-konseri-bilet?il_name=Kite%20Ankara&il_id=venue-576,25-09-19
Holysion Project + ODYSSAY (Live),400,https://cdn.iticket.com.tr/event/poster_square/A2QFOvJtzvi3FrfOZRjrAI97Wc4zh6Qn2Eqeunjq.jpg,Backyard Secrets,https://iticket.com.tr/tr/events/music/holysion-project-odyssay-live-konseri-ankara?il_name=Backyard%20Secrets&il_id=venue-867,2025-09-19
